id,name,address,city,state,zip
56,All Saints Episcopal Church,Not publicly listed,Anchorage,Alaska,00000
57,Alliance Christian Fellowship Church,Not publicly listed,Anchorage,Alaska,00000
59,Anchorage Alaska Temple (LDS),Not publicly listed,Anchorage,Alaska,00000
61,Anchorage Bible Fellowship,Not publicly listed,Anchorage,Alaska,00000
62,Arctic Grace Bible Church,Not publicly listed,Anchorage,Alaska,00000
72,First Presbyterian Church,Not publicly listed,Anchorage,Alaska,00000
85,Mountain City Church,Not publicly listed (Anchorage area),Anchorage,Alaska,00000
94,St. Andrew Catholic Church,Not publicly listed,Anchorage,Alaska,00000
95,St. Innocent Russian Orthodox Cathedral,Not publicly listed,Anchorage,Alaska,00000
98,St. Nicholas Orthodox Church,Not publicly listed,Anchorage,Alaska,00000
104,Unite Church,Not publicly listed (Anchorage area),Anchorage,Alaska,00000
63,Bible Baptist Church,Not publicly listed,Fairbanks,Alaska,00000
74,Friends Community Church,Not publicly listed,Fairbanks,Alaska,00000
79,Immaculate Conception Church,Not publicly listed,Fairbanks,Alaska,00000
80,Journey Christian Church,Not publicly listed (Fairbanks area),Fairbanks,Alaska,00000
96,St. Mark's University Catholic Church,Not publicly listed (near UAF),Fairbanks,Alaska,00000
103,True North Church (Fairbanks Campus),Not publicly listed (Fairbanks location),Fairbanks,Alaska,00000
67,Chapel By The Lake Presbyterian Church,Not publicly listed,Juneau,Alaska,00000
81,Juneau Church of Christ,Not publicly listed,Juneau,Alaska,00000
83,Kuneeix Hidi Northern Light United Church,Not publicly listed,Juneau,Alaska,00000
90,Riverside Baptist Church,Not publicly listed,Juneau,Alaska,00000
99,St. Nicholas Russian Orthodox Church,Not publicly listed,Juneau,Alaska,00000
101,St. Paul The Apostle Catholic Church,Not publicly listed,Juneau,Alaska,00000
82,Kenai Fellowship,Not publicly listed,Kenai,Alaska,00000
93,Sitka Lutheran Church,Not publicly listed,Sitka,Alaska,00000
69,Church of the Holy Ascension,Not publicly listed,Unalaska,Alaska,00000
64,Birch Harbor Baptist Church,"Mile 5 Knik Goose Bay Rd, Wasilla, AK",Wasilla,Alaska,00000
105,Valley Fellowship Church,Not publicly listed,Wasilla,Alaska,00000
106,Aspen Grove Community Church,Not publicly listed (Chandler area),Chandler,Arizona,00000
119,Flagstaff Christian Church,Not publicly listed,Flagstaff,Arizona,00000
151,University Bible Church,Near NAU campus,Flagstaff,Arizona,00000
129,Mountain Ridge Church,Not publicly listed,Glendale,Arizona,00000
128,Marana Community Church,Not publicly listed,Marana,Arizona,00000
127,Life.Church (Arizona locations),Various campuses,"Multiple (Phoenix, Mesa, etc.)",Arizona,00000
134,Oro Valley Church of Christ,Not publicly listed,Oro Valley,Arizona,00000
